galaxy,snapshot,time_Myr,ptype,xcom,ycom,zcom,vxcom,vycom,vzcom
M33,200,2857.14286,1,14.84,364.76826666666665,-17.156471111111113,89.62762086666667,-196.69212633333336,24.689587480000004
M33,200,2857.14286,2,15.190183685244982,364.8991158219851,-17.093256268426224,88.1175293684006,-196.56070481329587,29.940264831013803
M33,200,2857.14286,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,201,2871.42856,1,16.3156860591133,361.913421182266,-16.98010118226601,88.5312274933775,-196.14684139072853,24.492211052980135
M33,201,2871.42856,2,16.426478205491083,362.0758876309086,-16.661223252193604,86.44177486428121,-197.42046944960066,29.644865678084816
M33,201,2871.42856,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,202,2885.71428,1,17.71286730582524,358.9976577669903,-16.550282597087378,88.4390540049505,-195.3908798679868,24.99975177557756
M33,202,2885.71428,2,17.606614940068493,359.24222873858446,-16.249272517123288,81.96938094562654,-198.18385298542898,28.240540153924332
M33,202,2885.71428,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,203,2899.99998,1,18.81247619047619,356.3598333333333,-16.081285714285713,85.68867623471075,-195.32856677685953,23.932745001652894
M33,203,2899.99998,2,18.74027668535288,356.41056921086675,-15.81944384073595,79.57703354574203,-198.56830695412836,27.91134144232487
M33,203,2899.99998,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,204,2914.2857,1,-46.8286931353291,455.9944034775477,4.997857150924749,105.213,-166.0,-27.4933
M33,204,2914.2857,2,19.861483342989573,353.5882142236385,-15.394751984356894,80.38868551809448,-198.57313510897706,26.54995240950582
M33,204,2914.2857,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,205,2928.57142,1,-45.18752599497642,454.16589259995897,6.07299087515686,103.978,-167.837,-29.2457
M33,205,2928.57142,2,20.97632037824366,350.74836402287053,-15.002742339832869,77.67527586562026,-200.2375463299892,25.21826887100323
M33,205,2928.57142,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,206,2942.85712,1,-43.55722342497437,452.3274575251179,7.1442742932848065,102.661,-169.627,-30.926
M33,206,2942.85712,2,22.0592254843958,347.89377532909333,-14.654426488685106,76.26385259665622,-200.57670910365653,23.564394716267923
M33,206,2942.85712,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,207,2957.14285,1,23.662433333333333,344.59704102564103,-14.706966153846153,73.64148933277028,-200.84348766891893,23.62906399155406
M33,207,2957.14285,2,23.1333302881027,345.0299407374235,-14.325055238095239,74.91821305898057,-202.2222034174757,23.26909390626429
M33,207,2957.14285,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,208,2971.42857,1,24.85853282828283,341.6570505050505,-14.429871767676767,71.51717118214286,-202.05120153061227,22.6670408792517
M33,208,2971.42857,2,24.17979371528793,342.1450767319497,-13.999914408067816,72.24021489969043,-202.38035330600792,22.46649945923848
M33,208,2971.42857,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,209,2985.71427,1,25.234325,339.000875,-13.626900000000001,69.30946804074703,-201.66451324278435,21.096437023769102
M33,209,2985.71427,2,25.15947146207975,339.3084949179046,-13.59797961297889,69.6798035930794,-203.05866058480788,22.628427931289586
M33,209,2985.71427,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,210,2999.99999,1,26.5445125,336.0954791666667,-13.58415,65.58847010714285,-200.94045510204083,21.50465517142857
M33,210,2999.99999,2,26.20909106766071,336.3453584189056,-13.35341360528907,68.53143563944202,-203.59384807144392,22.21235011751564
M33,210,2999.99999,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,211,3014.28571,1,27.812271018276764,333.0043838120104,-13.482779634464752,63.119250882081914,-200.74172389078498,21.74790264897611
M33,211,3014.28571,2,27.12009966037736,333.5189941509434,-12.911038716981132,64.57426531835219,-204.3452443293406,22.83132418738102
M33,211,3014.28571,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,212,3028.57141,1,28.768926822916665,330.21335677083334,-13.193882369791666,59.56712798830509,-200.02200059322038,21.478528560338987
M33,212,3028.57141,2,28.04211423773092,330.5872134726628,-12.565616840828513,64.70762712485966,-205.59168293285828,21.597580135341097
M33,212,3028.57141,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,213,3042.85714,1,28.94365,327.7365,-12.0588,56.85817718242321,-200.10777883959048,19.740131365187715
M33,213,3042.85714,2,28.95405298438935,327.6377553719008,-12.249871452708907,62.017933932699194,-206.0352165083135,20.715808566378747
M33,213,3042.85714,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,214,3057.14284,1,30.018818181818183,324.4381818181818,-12.445027272727273,55.486102080479455,-202.11096575342467,21.02700377773973
M33,214,3057.14284,2,29.89894320221753,324.61900158394934,-12.102108429250263,61.664202838321984,-207.84489167120174,20.024014201090594
M33,214,3057.14284,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,215,3071.42856,1,30.493115,321.64355,-11.84214,53.85112977482639,-203.20487758680554,20.951758203125
M33,215,3071.42856,2,30.748017891997396,321.6302886141835,-11.827354376057254,57.25915968178979,-208.82865749405912,18.712242223740546
M33,215,3071.42856,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,216,3085.71428,1,31.59786976744186,318.7660697674419,-11.607884186046512,50.94404998266898,-204.99947157712307,21.458229512998273
M33,216,3085.71428,2,31.544539000257004,318.64114751991775,-11.557689104343357,55.250307165618565,-209.53967491085893,19.170559178660177
M33,216,3085.71428,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,217,3099.99998,1,32.18593333333333,315.687,-10.965733333333333,50.128786411458336,-206.30657222222223,20.181385715277777
M33,217,3099.99998,2,32.316977487578036,315.6488573066633,-11.274711881768377,54.382183446728504,-209.592885615501,18.697410804226568
M33,217,3099.99998,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,218,3114.2857,1,33.12533581081081,312.53841216216216,-11.36716972972973,47.94300839861353,-206.62909941074523,19.383806952339693
M33,218,3114.2857,2,33.10854963457661,312.6482658770161,-11.04100939138105,53.209296793743775,-211.30046126486482,16.720445910778373
M33,218,3114.2857,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,219,3128.57143,1,33.8738125,309.647125,-11.034775,44.740674416234874,-208.4484609671848,19.672471271157168
M33,219,3128.57143,2,33.85069942449643,309.60855661203556,-10.826431171024646,50.58016394544471,-213.0621927158759,16.159263118482652
M33,219,3128.57143,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,220,3142.85713,1,34.5927,306.275,-10.7851,42.72140532586207,-210.44220194827585,19.14764203689655
M33,220,3142.85713,2,34.541982353672175,306.56227041133343,-10.605967689822293,47.65752021632295,-213.6421042261132,15.194240077496753
M33,220,3142.85713,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,221,3157.14285,1,35.13217772020725,303.8604766839378,-10.383780494818653,39.84176855253054,-212.51542305410123,16.502739986038396
M33,221,3157.14285,2,35.20715623381428,303.495420767049,-10.398757965223826,46.25715845694833,-214.90679797601032,13.989864296196236
M33,221,3157.14285,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,222,3171.42857,1,35.736821794871794,300.75388974358975,-10.04779944871795,38.15794750260869,-213.66262420869563,15.302470650434783
M33,222,3171.42857,2,35.85638670591121,300.42756156487616,-10.211608925680647,44.23633780303618,-214.20146936790917,13.151170436030249
M33,222,3171.42857,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,223,3185.71427,1,36.426966666666665,297.5466666666667,-9.74268,36.554703034843214,-214.73801649825782,13.698922566027873
M33,223,3185.71427,2,36.480236351400954,297.3738355560994,-10.039003835800807,41.92156378202873,-215.18426677109213,11.15696954398833
M33,223,3185.71427,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,224,3199.99999,1,36.727963157894735,294.4178684210526,-9.446592894736842,35.048403,-216.31978947368418,11.308880110350875
M33,224,3199.99999,2,37.04889669300912,294.28660547112463,-9.901481806686931,38.22741688486441,-216.77067630981955,10.26323126028951
M33,224,3199.99999,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,225,3214.28569,1,37.25682352941176,291.043,-9.549915,32.92496880673759,-216.78916152482267,10.218013879787234
M33,225,3214.28569,2,37.58899493762868,291.1650155019983,-9.781666160833232,36.068194322338,-218.6200116414686,8.848337966663065
M33,225,3214.28569,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,226,3228.57141,1,38.2434,288.092,-9.94014,31.028151769999997,-218.80046607142853,7.9835953803571424
M33,226,3228.57141,2,38.09297986706949,288.028193836858,-9.677566334743203,34.07848444372366,-220.5265450556335,7.038433116160741
M33,226,3228.57141,3,0.0,0.0,0.0,0.0,0.0,0.0
