snapshot,time_Myr,bin_index,r_mid,sigma_rad,sigma_tan,sigma_z
493,7042.85713,5,5.5,122.22448449759821,170.88373434532917,50.64503051886425
493,7042.85713,6,6.5,125.03033253221165,172.70124361246334,49.902772529853664
493,7042.85713,7,7.5,111.9457105913819,170.78544670564133,41.81067179021332
493,7042.85713,8,8.5,121.60989193291964,165.42000620272793,39.75956277911606
493,7042.85713,9,9.5,116.12662300765167,170.15469590040325,36.35826500037564
493,7042.85713,10,10.5,104.30526271313674,173.69881933839503,39.980094502997076
493,7042.85713,11,11.5,123.84597142677463,162.14497870003188,37.97806314756471
493,7042.85713,12,12.5,118.6633327553954,168.29493863179354,35.5968741423595
493,7042.85713,13,13.5,119.59751015212844,166.11496279436028,39.852607000212124
493,7042.85713,14,14.5,105.63298901717468,172.93210197555524,35.19841023587364
493,7042.85713,15,15.5,107.07531394043932,165.00042149789914,34.64803120406556
493,7042.85713,16,16.5,122.04666147980564,167.96401476598513,29.514466313565364
493,7042.85713,17,17.5,114.40192933517324,157.3899789940086,34.60272900913092
493,7042.85713,18,18.5,101.93172025069052,163.50043168261604,41.12585563091046
493,7042.85713,19,19.5,111.18442496938803,160.57905979465932,33.207228478242094
494,7057.14285,0,0.5,146.4691055289081,164.26211428564534,67.85904737825835
494,7057.14285,1,1.5,133.77347423974678,164.81484960733445,58.71282524222829
494,7057.14285,2,2.5,128.6773320008021,165.41285791648718,62.566825808243614
494,7057.14285,3,3.5,123.58644054576351,166.46194601184013,61.38525585706208
494,7057.14285,4,4.5,119.83366434732717,164.40712205142665,56.299683518091214
494,7057.14285,5,5.5,120.77447263597792,167.3743314898568,50.59063130365806
494,7057.14285,6,6.5,125.62004317949749,167.08477203944565,48.04709876371516
494,7057.14285,7,7.5,112.87924279139376,168.57382804947545,42.764786140442304
494,7057.14285,8,8.5,121.76635486980135,169.2358037914551,40.52695488653302
494,7057.14285,9,9.5,118.10873717870582,160.42640038447195,36.027927970201276
494,7057.14285,10,10.5,117.84512576335524,155.88123802322554,35.140489146862556
494,7057.14285,11,11.5,109.08249470835713,165.90841172403043,38.67374725765701
494,7057.14285,12,12.5,120.53745116950242,156.70918673056596,36.63309552829042
494,7057.14285,13,13.5,115.34945287482586,168.36436754328255,38.41365712597831
494,7057.14285,14,14.5,105.37902526890723,174.48646504293464,35.62567950154461
494,7057.14285,15,15.5,126.4808106680793,153.06230601430633,35.26234090247437
494,7057.14285,16,16.5,100.42977513844652,169.5668083893073,28.552378672375248
494,7057.14285,17,17.5,120.17614597733248,166.2753647716807,35.15574117489106
494,7057.14285,18,18.5,105.6273849037702,160.7824109500698,40.47265120001742
494,7057.14285,19,19.5,96.84745601466673,153.7686189171007,37.76023702372475
495,7071.42855,0,0.5,143.53499027793544,160.8965499673617,71.23325936853632
495,7071.42855,1,1.5,132.37951812137064,160.82959656496158,60.4418884944174
495,7071.42855,2,2.5,130.31686855257198,161.57031652979555,61.727713098141145
495,7071.42855,3,3.5,124.99581864256089,158.58858049580186,60.27351609778886
495,7071.42855,4,4.5,121.92511986095715,161.95140727592397,58.341260084719174
495,7071.42855,5,5.5,118.45482228910444,162.11903474319865,51.323471507240725
495,7071.42855,6,6.5,118.22813112625136,162.7052406468726,47.30160585422715
495,7071.42855,7,7.5,118.5953065493668,166.0652046539052,42.114555002369165
495,7071.42855,8,8.5,123.72481322005937,162.36570292764827,37.17427190493552
495,7071.42855,9,9.5,115.25220894752829,160.0723004338773,38.34689521212819
495,7071.42855,10,10.5,111.14958956568785,155.7078911427262,36.02123970731154
495,7071.42855,11,11.5,126.50596556595572,152.99231703597303,37.627435320230916
495,7071.42855,12,12.5,105.15205198319833,159.4058834512103,36.52502419748509
495,7071.42855,13,13.5,111.2875220117756,159.73223821003558,38.09811015228524
495,7071.42855,14,14.5,119.868997769085,165.48383525819972,33.43492730657126
