# snap  time[Myr]  R_bin(kpc)  warp[deg]  h_z[kpc]
753   10757.14   88.49  125.71   13.202
753   10757.14  123.89  125.91   18.870
753   10757.14  159.29  125.48   23.851
753   10757.14  194.68  127.35   21.805
753   10757.14  230.08  125.55   21.623
753   10757.14  265.48  125.89   28.503
753   10757.14  300.88     nan      nan
753   10757.14  336.27     nan      nan
754   10771.43   17.86  113.88    2.901
754   10771.43   53.59  127.66   10.768
754   10771.43   89.32  125.45   13.138
754   10771.43  125.05  125.45   18.413
754   10771.43  160.78  125.58   24.509
754   10771.43  196.51  127.41   21.696
754   10771.43  232.24  125.70   21.754
754   10771.43  267.97  126.70   28.418
754   10771.43  303.70     nan      nan
754   10771.43  339.43     nan      nan
755   10785.71   18.02  114.01    2.929
755   10785.71   54.07  127.60   10.770
755   10785.71   90.11  125.40   12.799
755   10785.71  126.16  125.16   19.063
755   10785.71  162.21  125.72   24.339
755   10785.71  198.25  127.35   21.835
755   10785.71  234.30  126.04   23.031
755   10785.71  270.34     nan      nan
755   10785.71  306.39     nan      nan
755   10785.71  342.43     nan      nan
756   10800.00   18.17  113.17    2.803
756   10800.00   54.52  127.72   10.909
756   10800.00   90.87  125.20   12.839
756   10800.00  127.22  124.72   20.978
756   10800.00  163.57  125.68   24.027
756   10800.00  199.92  127.46   21.036
756   10800.00  236.27  126.42   23.227
756   10800.00  272.62  127.48   23.331
756   10800.00  308.96     nan      nan
756   10800.00  345.31     nan      nan
757   10814.29   18.32  113.10    2.903
757   10814.29   54.95  127.95   10.632
757   10814.29   91.59  125.14   12.732
757   10814.29  128.22  124.45   21.586
757   10814.29  164.86  126.00   23.323
757   10814.29  201.49  127.27   22.574
757   10814.29  238.13  126.63   21.664
757   10814.29  274.76  126.84   35.790
757   10814.29  311.39     nan      nan
757   10814.29  348.03     nan      nan
758   10828.57   18.46  112.38    2.912
758   10828.57   55.37  128.17   10.396
758   10828.57   92.28  124.97   12.906
758   10828.57  129.19  124.01   21.989
758   10828.57  166.10  126.04   23.383
758   10828.57  203.01  127.17   22.067
758   10828.57  239.92  126.63   22.348
758   10828.57  276.83  125.55   40.658
758   10828.57  313.74     nan      nan
758   10828.57  350.65     nan      nan
759   10842.86   18.58  113.59    2.988
759   10842.86   55.74  128.50   10.167
759   10842.86   92.91  124.96   12.737
759   10842.86  130.07  124.01   23.289
759   10842.86  167.23  126.30   23.136
759   10842.86  204.39  127.36   21.059
759   10842.86  241.56  126.93   22.776
759   10842.86  278.72  126.60   40.773
759   10842.86  315.88     nan      nan
759   10842.86  353.04     nan      nan
760   10857.14   18.70  113.71    3.010
760   10857.14   56.11  128.98   10.127
760   10857.14   93.51  124.97   12.629
760   10857.14  130.91  123.94   23.984
760   10857.14  168.32  126.46   22.585
760   10857.14  205.72  127.42   21.495
760   10857.14  243.12  127.07   22.531
760   10857.14  280.53  127.10   39.300
760   10857.14  317.93     nan      nan
760   10857.14  355.33     nan      nan
761   10871.43   18.81  114.68    3.030
761   10871.43   56.44  129.39   10.004
761   10871.43   94.06  125.13   12.605
761   10871.43  131.69  124.17   24.509
761   10871.43  169.31  126.76   22.360
761   10871.43  206.94  127.67   21.808
761   10871.43  244.56  127.29   22.295
761   10871.43  282.19  127.85   39.546
761   10871.43  319.81     nan      nan
761   10871.43  357.44     nan      nan
762   10885.71   18.92  115.33    3.067
762   10885.71   56.75  129.49    9.973
762   10885.71   94.59  125.27   12.565
762   10885.71  132.43  123.99   24.543
762   10885.71  170.26  126.88   22.272
762   10885.71  208.10  127.87   21.809
762   10885.71  245.94  127.44   22.678
762   10885.71  283.77  128.44   39.558
762   10885.71  321.61     nan      nan
762   10885.71  359.45     nan      nan
763   10900.00   19.02  115.32    3.098
763   10900.00   57.05  129.80    9.948
763   10900.00   95.08  125.25   11.662
763   10900.00  133.11  124.01   25.576
763   10900.00  171.14  127.09   21.749
763   10900.00  209.17  127.85   22.824
763   10900.00  247.20  127.53   22.231
763   10900.00  285.24  128.99   38.070
763   10900.00  323.27     nan      nan
763   10900.00  361.30     nan      nan
764   10914.29   19.11  113.10    3.122
764   10914.29   57.33  129.34    9.900
764   10914.29   95.54  125.00   11.734
764   10914.29  133.76  123.83   25.206
764   10914.29  171.98  126.78   21.843
764   10914.29  210.20  127.53   23.323
764   10914.29  248.42  127.58   21.285
764   10914.29  286.63  129.14   37.418
764   10914.29  324.85     nan      nan
764   10914.29  363.07     nan      nan
765   10928.57   19.19  112.02    3.134
765   10928.57   57.58  129.12    9.641
765   10928.57   95.97  124.65   12.399
765   10928.57  134.36  123.81   24.869
765   10928.57  172.75  126.58   21.527
765   10928.57  211.13  127.34   23.492
765   10928.57  249.52  127.36   21.614
765   10928.57  287.91  129.71   38.328
765   10928.57  326.30     nan      nan
765   10928.57  364.68     nan      nan
766   10942.86   19.27  110.31    3.078
766   10942.86   57.80  129.09    9.851
766   10942.86   96.34  124.64   12.489
766   10942.86  134.87  123.95   24.575
766   10942.86  173.41  126.60   21.743
766   10942.86  211.94  127.52   23.666
766   10942.86  250.48  127.35   21.360
766   10942.86  289.02  129.77   36.759
766   10942.86  327.55     nan      nan
766   10942.86  366.09     nan      nan
767   10957.14   19.33  109.92    3.079
767   10957.14   57.99  129.36    9.713
767   10957.14   96.65  124.87   12.818
767   10957.14  135.32  124.40   24.504
767   10957.14  173.98  127.02   21.121
767   10957.14  212.64  127.68   24.750
767   10957.14  251.30  127.65   21.978
767   10957.14  289.96  129.88   35.291
767   10957.14  328.62     nan      nan
767   10957.14  367.29     nan      nan
768   10971.43   19.39  107.60    3.071
768   10971.43   58.16  129.29    9.430
768   10971.43   96.94  125.03   12.896
768   10971.43  135.72  124.60   24.479
768   10971.43  174.49  127.03   21.008
768   10971.43  213.27  127.77   24.669
768   10971.43  252.05  127.86   23.010
768   10971.43  290.82  130.62   36.559
768   10971.43  329.60     nan      nan
768   10971.43  368.38     nan      nan
769   10985.71   19.44  108.45    3.069
769   10985.71   58.32  129.34    8.725
769   10985.71   97.20  125.19   12.855
769   10985.71  136.08  124.50   24.318
769   10985.71  174.96  127.15   21.196
769   10985.71  213.84  127.90   24.801
769   10985.71  252.72  128.06   23.280
769   10985.71  291.60  129.65   38.401
769   10985.71  330.48     nan      nan
769   10985.71  369.36     nan      nan
770   11000.00   19.48  106.54    3.036
770   11000.00   58.45  129.29    8.728
770   11000.00   97.42  125.40   12.849
770   11000.00  136.39  124.60   24.035
770   11000.00  175.35  127.48   20.637
770   11000.00  214.32  127.68   25.996
770   11000.00  253.29  128.18   23.331
770   11000.00  292.26  129.95   38.487
770   11000.00  331.22     nan      nan
770   11000.00  370.19     nan      nan
771   11014.29   19.52  104.71    3.019
771   11014.29   58.56  129.20    8.405
771   11014.29   97.60  125.28   12.927
771   11014.29  136.64  124.92   23.835
771   11014.29  175.67  127.47   20.761
771   11014.29  214.71  127.68   26.107
771   11014.29  253.75  128.25   23.589
771   11014.29  292.79  130.04   37.631
771   11014.29  331.83     nan      nan
771   11014.29  370.87     nan      nan
772   11028.57   19.55  105.08    2.792
772   11028.57   58.64  128.86    9.156
772   11028.57   97.73  125.21   12.664
772   11028.57  136.82  125.20   24.034
772   11028.57  175.91  127.49   20.441
772   11028.57  215.01  127.69   26.655
772   11028.57  254.10  128.27   23.725
772   11028.57  293.19  130.19   37.525
772   11028.57  332.28     nan      nan
772   11028.57  371.37     nan      nan
773   11042.86   19.57  103.82    2.774
773   11042.86   58.70  128.62    9.176
773   11042.86   97.84  125.00   12.880
773   11042.86  136.97  125.10   23.188
773   11042.86  176.10  127.37   20.503
773   11042.86  215.24  127.84   27.028
773   11042.86  254.37  128.00   23.902
773   11042.86  293.51  130.19   35.482
773   11042.86  332.64     nan      nan
773   11042.86  371.77     nan      nan
774   11057.14   19.58  104.10    2.760
774   11057.14   58.74  128.35    8.929
774   11057.14   97.89  125.31   12.488
774   11057.14  137.05  125.31   23.098
774   11057.14  176.21  127.59   20.976
774   11057.14  215.36  128.15   27.609
774   11057.14  254.52  128.26   23.537
774   11057.14  293.68  129.54   37.598
774   11057.14  332.83     nan      nan
774   11057.14  371.99     nan      nan
775   11071.43   19.58  105.56    2.520
775   11071.43   58.75  128.53    9.705
775   11071.43   97.91  125.52   12.325
775   11071.43  137.07  125.66   22.864
775   11071.43  176.24  127.91   21.297
775   11071.43  215.40  128.36   27.938
775   11071.43  254.56  128.59   23.831
775   11071.43  293.73  129.75   35.111
775   11071.43  332.89     nan      nan
775   11071.43  372.06     nan      nan
776   11085.71   19.58  105.63    2.444
776   11085.71   58.74  128.09    9.888
776   11085.71   97.89  125.56   12.522
776   11085.71  137.05  125.67   21.514
776   11085.71  176.21  128.14   22.146
776   11085.71  215.36  128.48   27.957
776   11085.71  254.52  128.65   24.394
776   11085.71  293.68  129.84   33.368
776   11085.71  332.84     nan      nan
776   11085.71  371.99     nan      nan
777   11100.00   19.57  103.30    2.414
777   11100.00   58.71  127.77    9.974
777   11100.00   97.84  125.39   12.657
777   11100.00  136.98  125.59   20.799
777   11100.00  176.12  127.97   22.114
777   11100.00  215.25  128.29   28.031
777   11100.00  254.39  128.34   24.729
777   11100.00  293.53  130.01   31.590
777   11100.00  332.66     nan      nan
777   11100.00  371.80     nan      nan
778   11114.29   19.55  104.58    2.397
778   11114.29   58.65  127.67   10.092
778   11114.29   97.74  125.61   12.719
778   11114.29  136.84  125.63   20.435
778   11114.29  175.94  128.16   22.142
778   11114.29  215.03  128.39   28.348
778   11114.29  254.13  128.52   24.952
778   11114.29  293.23  130.14   30.581
778   11114.29  332.32     nan      nan
778   11114.29  371.42     nan      nan
779   11128.57   19.52  103.13    2.355
779   11128.57   58.56  127.83   10.238
779   11128.57   97.61  125.61   12.677
779   11128.57  136.65  125.52   19.601
779   11128.57  175.69  128.31   22.699
779   11128.57  214.74  128.31   28.617
779   11128.57  253.78  128.59   24.934
779   11128.57  292.82  129.94   30.301
779   11128.57  331.86     nan      nan
779   11128.57  370.91     nan      nan
780   11142.86   19.49  102.43    2.364
780   11142.86   58.46  127.83   10.255
780   11142.86   97.43  125.45   12.529
780   11142.86  136.40  125.62   19.377
780   11142.86  175.38  128.38   22.776
780   11142.86  214.35  128.16   28.866
780   11142.86  253.32  128.65   25.375
780   11142.86  292.29  129.64   29.853
780   11142.86  331.26     nan      nan
780   11142.86  370.24     nan      nan
781   11157.14   19.44  101.40    2.344
781   11157.14   58.33  127.82   10.380
781   11157.14   97.22  125.44   12.208
781   11157.14  136.11  125.56   19.420
781   11157.14  174.99  128.44   23.217
781   11157.14  213.88  128.33   28.674
781   11157.14  252.77  128.51   25.470
781   11157.14  291.65  129.77   29.315
781   11157.14  330.54     nan      nan
781   11157.14  369.43     nan      nan
782   11171.43   19.39  101.30    2.352
782   11171.43   58.18  127.79   10.651
782   11171.43   96.97  125.52   11.956
782   11171.43  135.75  125.65   19.239
782   11171.43  174.54  128.62   23.724
782   11171.43  213.32  128.34   29.202
782   11171.43  252.11  128.64   25.397
782   11171.43  290.90  129.78   29.009
782   11171.43  329.68     nan      nan
782   11171.43  368.47     nan      nan
783   11185.71   19.33  100.86    2.352
783   11185.71   58.00  127.29   10.908
783   11185.71   96.67  125.54   12.063
783   11185.71  135.34  125.78   18.205
783   11185.71  174.01  128.61   24.221
783   11185.71  212.68  128.61   29.848
783   11185.71  251.34  128.35   25.945
783   11185.71  290.01  129.87   27.590
783   11185.71  328.68     nan      nan
783   11185.71  367.35     nan      nan
784   11200.00   19.27  100.30    2.347
784   11200.00   57.80  127.05   10.973
784   11200.00   96.33  125.47   12.326
784   11200.00  134.86  125.82   17.827
784   11200.00  173.39  128.72   23.497
784   11200.00  211.92  128.70   30.724
784   11200.00  250.45  128.03   25.447
784   11200.00  288.98  130.63   28.089
784   11200.00  327.51     nan      nan
784   11200.00  366.04     nan      nan
785   11214.29   19.19   99.59    2.299
785   11214.29   57.56  126.37   11.182
785   11214.29   95.94  125.59   12.249
785   11214.29  134.32  125.95   17.571
785   11214.29  172.69  128.71   23.619
785   11214.29  211.07  128.99   30.210
785   11214.29  249.45  127.86   27.301
785   11214.29  287.82  130.37   27.992
785   11214.29  326.20     nan      nan
785   11214.29  364.58     nan      nan
786   11228.57   19.10  101.09    2.301
786   11228.57   57.31  126.07   11.277
786   11228.57   95.52  125.65   12.136
786   11228.57  133.72  125.91   17.421
786   11228.57  171.93  129.02   23.735
786   11228.57  210.14  129.06   30.003
786   11228.57  248.34  127.61   28.621
786   11228.57  286.55  130.27   26.860
786   11228.57  324.76     nan      nan
786   11228.57  362.97     nan      nan
787   11242.86   19.01  101.04    2.276
787   11242.86   57.03  126.06   11.143
787   11242.86   95.05  125.60   12.157
787   11242.86  133.07  125.92   17.274
787   11242.86  171.09  129.06   22.194
787   11242.86  209.11  129.83   29.736
787   11242.86  247.13  127.18   30.668
787   11242.86  285.15  130.15   26.255
787   11242.86  323.17     nan      nan
787   11242.86  361.18     nan      nan
788   11257.14   18.91  100.00    2.263
788   11257.14   56.72  126.59   10.760
788   11257.14   94.54  125.57   12.505
788   11257.14  132.35  125.97   16.540
788   11257.14  170.17  129.27   22.587
788   11257.14  207.98  130.12   29.085
788   11257.14  245.80  127.09   31.921
788   11257.14  283.61  129.66   29.986
788   11257.14  321.42     nan      nan
788   11257.14  359.24     nan      nan
789   11271.43   18.79   99.92    2.259
789   11271.43   56.38  126.73   10.113
789   11271.43   93.97  125.61   12.459
789   11271.43  131.56  125.94   16.638
789   11271.43  169.15  129.16   21.940
789   11271.43  206.74  130.25   30.159
789   11271.43  244.33  127.20   32.465
789   11271.43  281.92  129.40   27.265
789   11271.43  319.51     nan      nan
789   11271.43  357.10     nan      nan
790   11285.71   18.67   98.34    2.244
790   11285.71   56.02  126.54   10.299
